rank,score,kp,ki,kd,guidance_gain,guidance_altitude_gain,gamma_final_deg,peak_altitude,downrange,impact_error,final_speed,flight_time,landed,mean_alpha_deg,max_alpha_deg,mean_gimbal_deg,max_gimbal_deg,saturation_ratio,mean_gamma_error_deg
1,4601.651403,3.5,0.7,1.15,0.26,9e-05,73.0,3417.829998,804.534598,4.534598,214.330965,59.300000,1.000000,10.616639,112.173468,0.327259,4.828000,0.000000,1.319721
2,4603.9615,3.5,0.78,1.15,0.26,0.00011,73.0,3417.775244,805.515008,5.515008,214.332885,59.300000,1.000000,10.612117,112.171044,0.327438,4.829608,0.000000,1.290433
3,4604.9663,3.5,0.78,1.15,0.26,0.0001,73.0,3417.775244,805.515008,5.515008,214.332885,59.300000,1.000000,10.612117,112.171044,0.327438,4.829608,0.000000,1.302992
4,4606.2379,3.5,0.78,1.15,0.26,9e-05,73.0,3417.775244,805.515008,5.515008,214.332885,59.300000,1.000000,10.612117,112.171044,0.327438,4.829608,0.000000,1.318888
5,4644.6118,5.1,0.43,0.75,0.39,0.00011,73.0,3402.288936,785.088427,14.911573,213.984425,59.160000,1.000000,10.682481,113.853020,0.311792,4.609606,0.000000,1.371420
6,4645.6190,5.1,0.43,0.75,0.39,0.0001,73.0,3402.288936,785.088427,14.911573,213.984425,59.160000,1.000000,10.682481,113.853020,0.311792,4.609606,0.000000,1.384010
7,4646.8927,5.1,0.43,0.75,0.39,9e-05,73.0,3402.288936,785.088427,14.911573,213.984425,59.160000,1.000000,10.682481,113.853020,0.311792,4.609606,0.000000,1.399930
8,4655.1093,3.5,0.7,1.15,0.26,0.0001,73.0,3417.485626,785.196405,14.803595,214.323651,59.300000,1.000000,10.719661,112.173468,0.318833,4.828000,0.000000,1.307991
9,4672.9493,4.8,0.43,0.9,0.39,0.00011,74.0,3400.820608,786.484690,13.515310,213.920952,59.100000,1.000000,10.815441,115.916462,0.332260,4.760793,0.000000,1.093825
10,4673.9647,4.8,0.43,0.9,0.39,0.0001,74.0,3400.820608,786.484690,13.515310,213.920952,59.100000,1.000000,10.815441,115.916462,0.332260,4.760793,0.000000,1.106518
11,4675.2507,4.8,0.43,0.9,0.39,9e-05,74.0,3400.820608,786.484690,13.515310,213.920952,59.100000,1.000000,10.815441,115.916462,0.332260,4.760793,0.000000,1.122592
12,4678.1914,4.5,0.27,0.75,0.39,9e-05,74.0,3405.051853,813.741026,13.741026,214.043565,59.140000,1.000000,10.575027,116.092377,0.326002,4.827964,0.000000,1.168764
13,4697.2516,5.1,0.43,0.9,0.45,0.00011,73.0,3389.592947,840.827014,40.827014,213.769289,59.020000,1.000000,10.464032,113.599156,0.323641,4.586415,0.000000,1.318419
14,4698.2582,5.1,0.43,0.9,0.45,0.0001,73.0,3389.592947,840.827014,40.827014,213.769289,59.020000,1.000000,10.464032,113.599156,0.323641,4.586415,0.000000,1.331003
15,4699.5306,5.1,0.43,0.9,0.45,9e-05,73.0,3389.592947,840.827014,40.827014,213.769289,59.020000,1.000000,10.464032,113.599156,0.323641,4.586415,0.000000,1.346908
16,4711.0394,4.8,0.43,0.75,0.45,0.00011,73.0,3400.979174,770.568624,29.431376,213.922348,59.140000,1.000000,10.779863,113.699273,0.307295,4.265894,0.000000,1.361379
17,4712.0463,4.8,0.43,0.75,0.45,0.0001,73.0,3400.979174,770.568624,29.431376,213.922348,59.140000,1.000000,10.779863,113.699273,0.307295,4.265894,0.000000,1.373966
18,4713.3195,4.8,0.43,0.75,0.45,9e-05,73.0,3400.979174,770.568624,29.431376,213.922348,59.140000,1.000000,10.779863,113.699273,0.307295,4.265894,0.000000,1.389881
19,4714.5248,2.9,0.7,1.3,0.32,9e-05,74.0,3409.057467,778.443976,21.556024,214.129711,59.140000,1.000000,10.694229,116.489521,0.309534,4.606560,0.000000,1.217271
20,4715.9354,3.2,0.62,1.15,0.38,9e-05,74.0,3401.457824,830.017339,30.017339,213.994537,59.080000,1.000000,10.518892,116.436144,0.320606,4.807417,0.000000,1.129783
21,4718.2986,5.1,0.27,0.75,0.51,0.00011,73.0,3392.237215,836.880315,36.880315,213.804676,59.060000,1.000000,10.509608,113.829578,0.322646,4.828765,0.000000,1.291701
22,4719.3083,5.1,0.27,0.75,0.51,0.0001,73.0,3392.237215,836.880315,36.880315,213.804676,59.060000,1.000000,10.509608,113.829578,0.322646,4.828765,0.000000,1.304322
23,4720.5845,5.1,0.27,0.75,0.51,9e-05,73.0,3392.237215,836.880315,36.880315,213.804676,59.060000,1.000000,10.509608,113.829578,0.322646,4.828765,0.000000,1.320275
24,4723.8927,4.8,0.35,0.75,0.45,0.00011,73.0,3401.141993,767.847535,32.152465,213.916658,59.140000,1.000000,10.793107,113.688402,0.306919,4.261476,0.000000,1.363649
25,4724.8997,4.8,0.35,0.75,0.45,0.0001,73.0,3401.141993,767.847535,32.152465,213.916658,59.140000,1.000000,10.793107,113.688402,0.306919,4.261476,0.000000,1.376235
26,4726.1728,4.8,0.35,0.75,0.45,9e-05,73.0,3401.141993,767.847535,32.152465,213.916658,59.140000,1.000000,10.793107,113.688402,0.306919,4.261476,0.000000,1.392149
27,4729.2361,3.5,0.62,1.15,0.26,0.00011,73.0,3415.526893,768.820837,31.179163,214.278457,59.280000,1.000000,10.821909,112.175870,0.307803,4.826394,0.000000,1.291288
28,4730.2410,3.5,0.62,1.15,0.26,0.0001,73.0,3415.526893,768.820837,31.179163,214.278457,59.280000,1.000000,10.821909,112.175870,0.307803,4.826394,0.000000,1.303849
29,4731.5129,3.5,0.62,1.15,0.26,9e-05,73.0,3415.526893,768.820837,31.179163,214.278457,59.280000,1.000000,10.821909,112.175870,0.307803,4.826394,0.000000,1.319748
30,4731.7810,4.5,0.27,1.05,0.45,0.00011,74.0,3400.215846,773.061243,26.938757,213.923019,59.080000,1.000000,10.843780,115.785980,0.338093,4.750936,0.000000,1.138811
31,4732.7935,4.5,0.27,1.05,0.45,0.0001,74.0,3400.215846,773.061243,26.938757,213.923019,59.080000,1.000000,10.843780,115.785980,0.338093,4.750936,0.000000,1.151468
32,4734.0763,4.5,0.27,1.05,0.45,9e-05,74.0,3400.215846,773.061243,26.938757,213.923019,59.080000,1.000000,10.843780,115.785980,0.338093,4.750936,0.000000,1.167503
33,4735.2268,4.8,0.27,0.75,0.45,0.00011,73.0,3401.304097,765.368299,34.631701,213.983607,59.160000,1.000000,10.802751,113.677494,0.306440,4.257062,0.000000,1.365454
34,4736.2333,4.8,0.27,0.75,0.45,0.0001,73.0,3401.304097,765.368299,34.631701,213.983607,59.160000,1.000000,10.802751,113.677494,0.306440,4.257062,0.000000,1.378036
35,4737.0065,5.1,0.35,0.75,0.51,0.00011,73.0,3391.964214,840.793588,40.793588,213.813127,59.060000,1.000000,10.492812,113.835914,0.323320,4.835173,0.000000,1.288414
36,4737.5059,4.8,0.27,0.75,0.45,9e-05,73.0,3401.304097,765.368299,34.631701,213.983607,59.160000,1.000000,10.802751,113.677494,0.306440,4.257062,0.000000,1.393944
37,4738.0162,5.1,0.35,0.75,0.51,0.0001,73.0,3391.964214,840.793588,40.793588,213.813127,59.060000,1.000000,10.492812,113.835914,0.323320,4.835173,0.000000,1.301035
