rank,score,kp,ki,kd,guidance_gain,guidance_altitude_gain,gamma_final_deg,peak_altitude,downrange,impact_error,final_speed,flight_time,landed,mean_alpha_deg,max_alpha_deg,mean_gimbal_deg,max_gimbal_deg,saturation_ratio,mean_gamma_error_deg
1,4607.130572,4.15,0.4,1.9,0.69,7e-05,75.2,3418.726358,801.446306,1.446306,214.314349,59.240000,1.000000,10.627730,115.845029,0.299319,4.486758,0.000000,1.032345
2,4622.1362,3.75,0.75,1.98,0.61,9e-05,76.0,3429.049197,799.745833,0.254167,214.535696,59.300000,1.000000,10.508369,117.887218,0.285305,4.656036,0.000000,0.915642
3,4623.8498,3.75,0.75,1.98,0.61,8e-05,76.0,3429.049197,799.745833,0.254167,214.535696,59.300000,1.000000,10.508369,117.887218,0.285305,4.656036,0.000000,0.937062
4,4625.2233,3.6,0.8,1.9,0.58,9e-05,76.0,3428.085520,801.683010,1.683010,214.551872,59.300000,1.000000,10.466209,117.822883,0.313034,4.716022,0.000000,0.951893
5,4626.1865,3.75,0.75,1.98,0.61,7e-05,76.0,3429.049197,799.745833,0.254167,214.535696,59.300000,1.000000,10.508369,117.887218,0.285305,4.656036,0.000000,0.966270
6,4626.9361,3.6,0.8,1.9,0.58,8e-05,76.0,3428.085520,801.683010,1.683010,214.551872,59.300000,1.000000,10.466209,117.822883,0.313034,4.716022,0.000000,0.973304
7,4629.2719,3.6,0.8,1.9,0.58,7e-05,76.0,3428.085520,801.683010,1.683010,214.551872,59.300000,1.000000,10.466209,117.822883,0.313034,4.716022,0.000000,1.002501
8,4630.2936,4.0,0.35,1.9,0.66,7e-05,76.0,3428.012733,799.533094,0.466906,214.565033,59.300000,1.000000,10.467829,118.169253,0.298719,4.402746,0.000000,1.012324
9,4633.4218,4.0,0.35,1.9,0.66,6e-05,76.0,3428.012733,799.533094,0.466906,214.565033,59.300000,1.000000,10.467829,118.169253,0.298719,4.402746,0.000000,1.051426
10,4635.2668,3.6,0.8,1.9,0.61,9e-05,76.0,3429.167593,796.993855,3.006145,214.530031,59.300000,1.000000,10.520526,117.894107,0.284990,4.652700,0.000000,0.918225
11,4636.9801,3.6,0.8,1.9,0.61,8e-05,76.0,3429.167593,796.993855,3.006145,214.530031,59.300000,1.000000,10.520526,117.894107,0.284990,4.652700,0.000000,0.939641
12,4637.4682,4.0,0.35,1.9,0.66,5e-05,76.0,3428.012733,799.533094,0.466906,214.565033,59.300000,1.000000,10.467829,118.169253,0.298719,4.402746,0.000000,1.102007
13,4639.3163,3.6,0.8,1.9,0.61,7e-05,76.0,3429.167593,796.993855,3.006145,214.530031,59.300000,1.000000,10.520526,117.894107,0.284990,4.652700,0.000000,0.968845
